iter	Passed	Remaining
813	315537	72100
814	315929	71714
815	316330	71329
816	316734	70945
817	317126	70558
818	317515	70171
819	317904	69784
820	318289	69395
821	318678	69008
822	319063	68619
823	319495	68241
824	319898	67857
825	320349	67482
826	320751	67097
827	321187	66720
828	321608	66339
829	322053	65962
830	322472	65581
831	322874	65195
832	323277	64810
833	323733	64436
834	324148	64053
835	324534	63664
836	324928	63277
837	325318	62889
838	325711	62502
839	326094	62113
840	326469	61722
841	326855	61333
842	327243	60945
843	327634	60558
844	328039	60172
845	328442	59787
846	328853	59403
847	329250	59016
848	329654	58631
849	330048	58243
850	330446	57857
851	330828	57467
852	331205	57077
853	331608	56691
854	332018	56307
855	332411	55919
856	332814	55533
857	333257	55154
858	333672	54770
859	334056	54381
860	334447	53993
861	334890	53613
862	335288	53226
863	335683	52839
864	336078	52451
865	336473	52063
866	336892	51680
867	337287	51292
868	337677	50904
869	338075	50516
870	338462	50128
871	338853	49739
872	339242	49351
873	339627	48962
874	340033	48576
875	340460	48193
876	340907	47812
877	341307	47425
878	341696	47036
879	342095	46649
880	342506	46263
881	342946	45881
882	343364	45496
883	343787	45112
884	344282	44737
885	344676	44348
886	345073	43960
887	345461	43571
888	345879	43186
889	346277	42798
890	346662	42408
891	347044	42018
892	347418	41628
893	347794	41237
894	348182	40848
895	348555	40457
896	348926	40066
897	349297	39675
898	349673	39284
899	350047	38894
900	350423	38503
901	350797	38113
902	351175	37723
903	351550	37332
904	351934	36943
905	352313	36553
906	352692	36163
907	353072	35773
908	353455	35384
909	353830	34994
910	354218	34605
911	354598	34215
912	354975	33825
913	355377	33438
914	355772	33049
915	356171	32661
916	356627	32279
917	357101	31897
918	357521	31511
919	357942	31125
920	358345	30737
921	358745	30349
922	359144	29961
923	359568	29574
924	359967	29186
925	360383	28799
926	360810	28413
927	361216	28025
928	361612	27636
929	362028	27249
930	362474	26864
931	362885	26476
932	363316	26090
933	363771	25705
934	364193	25318
935	364655	24933
936	365085	24546
937	365486	24157
938	365896	23769
939	366293	23380
940	366706	22992
941	367115	22603
942	367500	22213
943	367897	21824
944	368287	21434
945	368668	21044
946	369058	20654
